"","document","topic","gamma"
"212","444",1,0.00323833283168407
"213","83",1,0.0025876015169911
"214","595",1,0.00745869344500601
"215","1108",1,0.00432631710346651
"216","757",1,0.00399109458573402
"217","467",1,0.00272446962017907
"218","721",1,0.00472301558879561
"219","1174",1,0.00246382722205068
"220","1427",1,0.00519980820210755
"221","226",1,0.00578367536021911
"222","713",1,0.00578367536021911
"223","1261",1,0.00370408541763274
"224","411",1,0.00215463533299527
"225","1071",1,0.00432631710346651
"226","402",1,0.00345558589497037
"227","243",1,0.00432631710346651
"228","1472",1,0.00345558597058777
"229","323",1,0.00432631710346651
"230","459",1,0.00272446959789722
"231","1400",1,0.00304678128687831
"232","397",1,0.00399109458573402
"233","27",1,0.0065152484699852
"234","1295",1,0.00287662525596455
"235","1042",1,0.0032383328366207
"236","116",1,0.159737905252372
"237","1129",1,0.236444593911921
"238","719",1,0.00345558589497038
"239","1387",1,0.00370408538188889
"240","91",1,0.00872163597733663
"241","726",1,0.0025876015169911
"242","95",1,0.00519980820210755
"243","276",1,0.106150695213291
"244","709",1,0.00345558589497038
"245","620",1,0.00745869337854907
"246","1471",1,0.00472301558879561
"247","194",1,0.00432631710346651
"248","641",1,0.00345558589497037
"249","1208",1,0.00345558589497038
"250","1355",1,0.00432631710346651
"251","242",1,0.00304678128687831
"252","347",1,0.00246382722205068
"253","680",1,0.00399109465688634
"254","31",1,0.298803021497055
"255","1396",1,0.00370408538248387
"256","144",1,0.00287662527207174
"257","1336",1,0.0605061044127339
"258","729",1,0.00399109458573402
"259","788",1,0.00323833279344371
"260","910",1,0.00345558589497037
"261","159",1,0.0037040853818534
"262","396",1,0.00246382722205068
"263","1201",1,0.844252584023622
"264","634",1,0.00345558589497037
"265","174",1,0.00323833279344371
"266","1103",1,0.00578367536021911
"267","262",1,0.0020681239985469
"268","1171",1,0.00519980820210755
"269","1362",1,0.00472301558879561
"270","1268",1,0.00345558589497049
"271","990",1,0.00578367536021911
"272","572",1,0.00519980820210755
"273","173",1,0.00246382722205068
"274","1116",1,0.00287662524235072
"275","424",1,0.00472301567536662
"276","1307",1,0.00246382725578429
"277","508",1,0.00323833281098844
"278","601",1,0.00578367536021911
"279","463",1,0.00272446959789722
"280","583",1,0.0037040853818534
"281","1305",1,0.00235135356828425
"282","235",1,0.00432631710679388
"283","1229",1,0.00432631711191988
"284","410",1,0.00287662531658085
"285","215",1,0.00323833279346053
"286","608",1,0.00872163560675464
"287","1300",1,0.00345558589497038
"288","423",1,0.0037040853818534
"289","41",1,0.00304678128687831
"290","1413",1,0.00246382722205076
"291","908",1,0.00432631710346651
"292","392",1,0.00246382723135444
"293","480",1,0.00432631710346651
"294","412",1,0.00323833279344371
"295","114",1,0.0689846909260454
"296","1381",1,0.00287662524235072
"297","745",1,0.00246382722214923
"298","1349",1,0.0037040853818534
"299","1435",1,0.00258760153110035
"300","596",1,0.00370408538185403
"301","548",1,0.00370408543039039
"302","77",1,0.00345558589497037
"303","403",1,0.00304678128687831
"304","1076",1,0.00304678128687831
"305","1143",1,0.0735154621768472
"306","482",1,0.00323833279344371
"307","196",1,0.0039910946106639
"308","1241",1,0.00224870035696853
"309","377",1,0.00472301558879561
"310","135",1,0.0025876015169911
"311","1196",1,0.00345558589497037
"312","606",1,0.00198829151989135
"313","117",1,0.00345558589497037
"314","260",1,0.00215463538781844
"315","1134",1,0.00258760152284677
"316","362",1,0.229622038690427
"317","792",1,0.347371375989641
"318","1096",1,0.00370408539962795
"319","1202",1,0.00578367536021911
"320","1460",1,0.00370408541372342
"321","478",1,0.00472301558879561
"322","1263",1,0.00345558591501137
"323","340",1,0.00745869332446472
"324","682",1,0.00345558597069461
"325","1536",1,0.00206812396686644
"326","432",1,0.128978573742384
"327","1013",1,0.0037040853818534
"328","867",1,0.00519980820210754
"329","903",1,0.00432631710346651
"330","1112",1,0.00287662526412882
"331","1463",1,0.00246382723047375
"332","1380",1,0.00323833279344371
"333","1240",1,0.00323833299892251
"334","807",1,0.00651524841624923
"335","575",1,0.0621998278374137
"336","637",1,0.00519980820210755
"337","380",1,0.0037040853818534
"338","972",1,0.00246382722205068
"339","350",1,0.00399109458573402
"340","488",1,0.00432631710346651
"341","112",1,0.00304678129369956
"342","949",1,0.207101582102
"343","428",1,0.00287662524235072
"344","52",1,0.0030467813104365
"345","1187",1,0.00258760153553368
"346","1133",1,0.00235135352564097
"347","1453",1,0.00432631718494273
"348","1495",1,0.00578367536021911
"349","1073",1,0.0037040853818534
"350","521",1,0.00304678131167648
"351","1280",1,0.00345558589497037
"352","1293",1,0.178046506153799
"353","1225",1,0.00578367551273626
"354","1401",1,0.00323833279344371
"355","560",1,0.00345558589746805
"356","804",1,0.0023513535192455
"357","1119",1,0.00206812396686643
"358","1510",1,0.00399109458573402
"359","552",1,0.0025876015169911
"360","655",1,0.00323833289239488
"361","1425",1,0.00184579132087444
"362","329",1,0.00206812396870025
"363","1145",1,0.00345558594753151
"364","751",1,0.00399109458573402
"365","678",1,0.00432631711335125
"366","1496",1,0.00246382722205068
"367","1074",1,0.00272446959789722
"368","455",1,0.711856017473092
"369","336",1,0.00287662524235072
"370","109",1,0.00345558589497038
"371","375",1,0.0760204979052539
"372","876",1,0.00287662524235072
"373","124",1,0.00345558592870306
"374","820",1,0.00235135351924551
"375","1407",1,0.00345558589499605
"376","234",1,0.00399109458573402
"377","1518",1,0.00370408538190116
"378","67",1,0.00578367536021911
"379","954",1,0.00472301558879561
"380","667",1,0.178046505861259
"381","541",1,0.00472301564081203
"382","420",1,0.00345558589501139
"383","324",1,0.00323833279344371
"384","689",1,0.00287662524235072
"385","937",1,0.00287662524235072
"386","1399",1,0.00287662524235072
"387","1104",1,0.00472301558879561
"388","1199",1,0.00651524841624923
"389","102",1,0.128978567592147
"390","981",1,0.00246382722892389
"391","598",1,0.0034555859665195
"392","748",1,0.00235135352714426
"393","264",1,0.00399109458889298
"394","818",1,0.00198829151965373
"395","1415",1,0.00287662524235072
"396","1097",1,0.0027244696033068
"397","1026",1,0.00287662526076769
"398","623",1,0.00472301558879561
"399","88",1,0.00399109458573413
"400","30",1,0.00304678128687831
"401","580",1,0.00235135351924551
"402","1341",1,0.167882250978759
"403","473",1,0.00272446961317319
"404","989",1,0.00519980820210755
"405","125",1,0.00519980820210755
"406","1144",1,0.158895215336142
"407","300",1,0.00872163560675464
"408","98",1,0.00345558589497037
"409","433",1,0.00287662529890337
"410","143",1,0.00272446960541003
"411","649",1,0.00432631710353377
"412","272",1,0.00323833279344371
"413","805",1,0.00323833286249673
"414","165",1,0.00287662524235072
"415","1260",1,0.00246382722205068
"416","1468",1,0.00432631710346651
"417","863",1,0.00345558593089883
"418","475",1,0.00578367536021911
"419","70",1,0.00399109458573402
"420","130",1,0.00370408540719315
"421","536",1,0.00519980834307249
"422","1397",1,0.00235135352991501
"423","898",1,0.00304678129959314
"424","600",1,0.00872163560675464
"425","1324",1,0.00519980823932979
"426","516",1,0.00215463533678298
"427","376",1,0.00399109463529451
"428","1483",1,0.00472301571602393
"429","566",1,0.00432631710346651
"430","567",1,0.00287662524235072
"431","599",1,0.00370408539115567
"432","492",1,0.00345558589497037
"433","96",1,0.00399109458573402
"434","1474",1,0.00578367536021911
"435","22",1,0.0030467812869767
"436","454",1,0.00399109463757868
"437","251",1,0.00472301565564009
"438","1190",1,0.00399109462448757
"439","528",1,0.00370408538185341
"440","1289",1,0.00304678128687831
"441","1486",1,0.00287662527349535
"442","395",1,0.00432631711431196
"443","928",1,0.0757231603090657
"444","1169",1,0.00323833279344371
"445","1423",1,0.00272446962549286
"446","157",1,0.00472301558879561
"447","871",1,0.00235135351924551
"448","720",1,0.0037040853818534
"449","1270",1,0.0978088835630345
"450","466",1,0.280723230898012
"451","1188",1,0.00578367536021911
"452","1464",1,0.00651524879543537
"453","710",1,0.00432631710346651
"454","438",1,0.0037040853818534
"455","332",1,0.00287662524235072
"456","277",1,0.00432631710346651
"457","1319",1,0.00235135355080058
"458","957",1,0.00287662524235072
"459","905",1,0.313992291725319
"460","1149",1,0.00519980820210755
"461","87",1,0.0037040853818534
"462","882",1,0.00287662524235072
"463","81",1,0.00651524841624923
"464","1126",1,0.00578367537575601
"465","681",1,0.0034555859332154
"466","343",1,0.00519980830160601
"467","202",1,0.00399109458573402
"468","418",1,0.00323833279344371
"469","913",1,0.00370408543438933
"470","370",1,0.00399109474259828
"471","1424",1,0.0025876015169911
"472","963",1,0.00304678128687831
"473","1534",1,0.042219402802777
"474","519",1,0.0037040853818534
"475","489",1,0.00578367536021911
"476","627",1,0.00235135352396564
"477","952",1,0.00304678128687831
"478","184",1,0.00323833279344371
"479","823",1,0.00472301558879561
"480","245",1,0.00578367744475639
"481","604",1,0.0037040853818534
"482","877",1,0.00345558589497038
"483","141",1,0.00472301571067827
"484","1237",1,0.00432631714025636
"485","471",1,0.00235135352552186
"486","931",1,0.357954418163947
"487","1384",1,0.00399109463399286
"488","1179",1,0.00399109458573402
"489","54",1,0.00345558595070965
"490","1016",1,0.00323833279352936
"491","503",1,0.106313350347689
"492","873",1,0.00272446959789722
"493","431",1,0.00287662524235072
"494","507",1,0.00345558589497037
"495","191",1,0.0025876015169911
"496","783",1,0.00304678128687831
"497","317",1,0.0037040853818534
"498","1259",1,0.00472301569783171
"499","38",1,0.00345558589497037
"500","1121",1,0.0964172848348581
"501","1048",1,0.00345558591051931
"502","534",1,0.00272446959792163
"503","830",1,0.00323833279344371
"504","121",1,0.00345558589497038
"505","914",1,0.00304678135994535
"506","1332",1,0.00287662524235072
"507","152",1,0.00519980820210754
"508","1493",1,0.0022487004013513
"509","1475",1,0.00472301558879561
"510","156",1,0.00272446959909389
"511","781",1,0.0023513535192455
"512","1251",1,0.00578367545231794
"513","312",1,0.00323833279344371
"514","527",1,0.00246382724459766
"515","1456",1,0.00745869332446474
"516","1272",1,0.00224870036850419
"517","1156",1,0.00519980820210755
"518","356",1,0.00519980834365111
"519","1173",1,0.00519980820210755
"520","813",1,0.00287662524235941
"521","939",1,0.00872163560675464
"522","837",1,0.00432631710346651
"523","131",1,0.0025876015169911
"524","1501",1,0.00272446959789722
"525","693",1,0.0037040853818534
"526","36",1,0.0704082938399151
"527","1411",1,0.00651524841624923
"528","479",1,0.00304678129554802
"529","269",1,0.0025876015169911
"530","852",1,0.00304678130346109
"531","229",1,0.00224870035696853
"532","787",1,0.00198829152725698
"533","1330",1,0.00472301558879561
"534","422",1,0.00246382722205068
"535","1123",1,0.0019882915244938
"536","1530",1,0.00224870035696854
"537","1012",1,0.00323833282741536
"538","520",1,0.0023513535192455
"539","1521",1,0.00287662528359793
"540","708",1,0.00287662524758173
"541","947",1,0.00323833281060053
"542","511",1,0.0037040853836078
"543","1209",1,0.00246382723691827
"544","554",1,0.00370408540420425
"545","746",1,0.00323833279344371
"546","1365",1,0.00399109458573402
"547","222",1,0.00224870036450901
"548","1011",1,0.00272446959789722
"549","315",1,0.00432631726137436
"550","1064",1,0.00651524841624923
"551","1178",1,0.00399109458573402
"552","663",1,0.00370408541682148
"553","137",1,0.098742558055292
"554","108",1,0.00287662524235072
"555","94",1,0.00246382722205068
"556","1443",1,0.0028766252513324
"557","1009",1,0.00224870035998973
"558","856",1,0.00323833281452047
"559","1139",1,0.00287662525595088
"560","768",1,0.00287662524235072
"561","200",1,0.00432631721735036
"562","50",1,0.00323833282817295
"563","1244",1,0.00287662524675633
"564","1070",1,0.00235135353591735
"565","1329",1,0.00651524849424365
"566","1091",1,0.00246382722205068
"567","1282",1,0.00519980820210755
"568","1492",1,0.00323833281745993
"569","728",1,0.00345558589497037
"570","1247",1,0.00323833279344371
"571","197",1,0.0131876196205074
"572","985",1,0.00323833279344371
"573","1451",1,0.00304678128687831
"574","198",1,0.00872163560675464
"575","603",1,0.00472301558879561
"576","21",1,0.00287662524235072
"577","29",1,0.00304678128687831
"578","542",1,0.00323833281595736
"579","1155",1,0.00472301558879561
"580","1203",1,0.00345558589497038
"581","1269",1,0.00745869332446472
"582","609",1,0.00166662195088277
"583","951",1,0.00472301558879561
"584","1095",1,0.0037040853818534
"585","927",1,0.00519980820210755
"586","932",1,0.00166662195088278
"587","1357",1,0.00304678128687831
"588","668",1,0.0883184684573866
"589","299",1,0.106150695198742
"590","779",1,0.804984722342277
"591","406",1,0.00472301560093284
"592","929",1,0.00224870035696854
"593","1167",1,0.00578367536021911
"594","940",1,0.00651524841624923
"595","502",1,0.00519980823090778
"596","1470",1,0.00258760152057175
"597","1186",1,0.0037040853818534
"598","425",1,0.00472301558879561
"599","1254",1,0.0023513535192455
"600","1347",1,0.00345558599038154
"601","1489",1,0.0756164887878054
"602","283",1,0.00345558589497037
"603","477",1,0.00399109458573402
"604","440",1,0.00272446959789722
"605","986",1,0.00519980820210755
"606","1340",1,0.00345558590406804
"607","933",1,0.00345558589497038
"608","1446",1,0.0621980541125784
"609","437",1,0.00745869332446472
"610","1503",1,0.00304678128687831
"611","625",1,0.00578367536021911
"612","1304",1,0.00304678128687831
"613","1432",1,0.00872163560675464
"614","838",1,0.0037040853818534
"615","1343",1,0.00345558589497039
"616","190",1,0.00472301558879561
"617","1184",1,0.00519980820210755
"618","296",1,0.00258760153505124
"619","427",1,0.00287662524235072
"620","531",1,0.0037040853818534
"621","204",1,0.00745869332446551
"622","661",1,0.00651524841624923
"623","139",1,0.00287662527247737
"624","1050",1,0.00399109458573402
"625","238",1,0.00246382723093886
"626","384",1,0.193048489634818
"627","646",1,0.00304678128687841
"628","426",1,0.00258760152431337
"629","306",1,0.00519980823835748
"630","216",1,0.00246382723308858
"631","195",1,0.00258760151861714
"632","217",1,0.0025876015169911
"633","504",1,0.00345558592539962
"634","943",1,0.0037040853818534
"635","909",1,0.104515869095233
"636","925",1,0.0705435335061146
"637","1379",1,0.00399109468505647
"638","633",1,0.00323833282648921
"639","281",1,0.00246382722205068
"640","106",1,0.0025876015169911
"641","1256",1,0.00345558592473901
"642","1374",1,0.00178193593973095
"643","460",1,0.00472301560439809
"644","610",1,0.00287662524235072
"645","1540",1,0.00399109458573402
"646","1519",1,0.00224870035696853
"647","844",1,0.0037040853818534
"648","1197",1,0.00432631718981919
"649","1235",1,0.0621980541125783
"650","1479",1,0.390788016770933
"651","1170",1,0.147528767821182
"652","955",1,0.00399109458573402
"653","446",1,0.00258760154989453
"654","419",1,0.00304678128687831
"655","177",1,0.00519980824016614
"656","1038",1,0.00399109458573402
"657","1249",1,0.00399109458573402
"658","274",1,0.468901855800289
"659","666",1,0.00578367536021911
"660","778",1,0.00304678128687831
"661","1115",1,0.00370408538193959
"662","711",1,0.00272446960706653
"663","1031",1,0.0037040854042065
"664","657",1,0.00519980824498836
"665","483",1,0.00399109465765569
"666","365",1,0.00651524841644435
"667","1299",1,0.00304678128691772
"668","1373",1,0.00345558592006303
"669","1230",1,0.00191439330167302
"670","665",1,0.00519980820210755
"671","1342",1,0.00215463533082405
"672","338",1,0.00323833279411403
"673","84",1,0.00272446959789722
"674","1219",1,0.00399109458573402
"675","1382",1,0.00304678131363226
"676","233",1,0.00323833279650441
"677","1485",1,0.00399109458573402
"678","1085",1,0.00345558589497037
"679","415",1,0.00651524841624923
"680","1445",1,0.00323833279344371
"681","630",1,0.00172235099216733
"682","1361",1,0.00399109458573402
"683","1477",1,0.25471881465567
"684","1527",1,0.00258760152061574
"685","1356",1,0.108512720868064
"686","1429",1,0.00323833279346655
"687","942",1,0.0025876015169911
"688","878",1,0.00519980826342498
"689","881",1,0.00472301562260479
"690","1448",1,0.00287662524235072
"691","730",1,0.00323833279344371
"692","701",1,0.00578367536021911
"693","42",1,0.00651524841624923
"694","586",1,0.00246382722205068
"695","443",1,0.00206812398282475
"696","1416",1,0.00651524841624923
"697","753",1,0.0087216357710375
"698","1223",1,0.0043263171523118
"699","840",1,0.00323833279865988
"700","416",1,0.0037040853980542
"701","169",1,0.00272446959789722
"702","1334",1,0.443418034341682
"703","629",1,0.00345558591062553
"704","579",1,0.00399109461246257
"705","1010",1,0.00304678128687831
"706","244",1,0.106150695267275
"707","1482",1,0.00287662524235078
"708","1320",1,0.00519980820210755
"709","854",1,0.00399109458573402
"710","714",1,0.0039910947823986
"711","316",1,0.00472301558879561
"712","1140",1,0.00370408542226007
"713","1498",1,0.0980215970248811
"714","827",1,0.0023513535192455
"715","1440",1,0.0025876015169911
"716","241",1,0.00323833281100592
"717","964",1,0.00578367536021911
"718","543",1,0.00323833279344371
"719","162",1,0.0023513535192455
"720","1459",1,0.00651524841624923
"721","1238",1,0.00472301558879561
"722","301",1,0.0030467813072057
"723","254",1,0.349208762948552
"724","650",1,0.00345558589497038
"725","297",1,0.00323833279476337
"726","1354",1,0.00206812396927466
"727","351",1,0.0037040853818534
"728","998",1,0.0037040853818534
"729","912",1,0.00519980820210755
"730","759",1,0.0025876015169911
"731","966",1,0.00432631710346651
"732","723",1,0.00472301566919708
"733","69",1,0.00399109458573402
"734","1047",1,0.00272446959789722
"735","270",1,0.00323833279344371
"736","904",1,0.00432631713616654
"737","501",1,0.00472301558879561
"738","673",1,0.0037040853818534
"739","743",1,0.00272446960074886
"740","451",1,0.00399109465011754
"741","944",1,0.00258760156137588
"742","735",1,0.00745869332446472
"743","696",1,0.00370408546837034
"744","322",1,0.00272446959789722
"745","43",1,0.00246382726933573
"746","1045",1,0.00432631710346651
"747","923",1,0.00745869332446472
"748","295",1,0.00399109458573402
"749","858",1,0.00651524841624923
"750","71",1,0.0039910945990494
"751","1450",1,0.0025876015169911
"752","1217",1,0.00345558589497038
"753","1417",1,0.0028766252507752
"754","199",1,0.0037040853818534
"755","926",1,0.00345558589497037
"756","847",1,0.00304678128687831
"757","737",1,0.00304678128687831
"758","1524",1,0.00287662524235072
"759","1321",1,0.00304678128687831
"760","539",1,0.0460597953116869
"761","111",1,0.265235764127336
"762","11",1,0.188110550691082
"763","522",1,0.0104994543576238
"764","518",1,0.00304678128687831
"765","695",1,0.00272446959789722
"766","311",1,0.00370408539936571
"767","321",1,0.00323833279344371
"768","917",1,0.00399109458573402
"769","806",1,0.0037040853818534
"770","76",1,0.00345558589497037
"771","288",1,0.00651524841624923
"772","151",1,0.00323833285807036
"773","544",1,0.0037040853818534
"774","13",1,0.00287662524235072
"775","687",1,0.00432631725880626
"776","670",1,0.00287662526920888
"777","1367",1,0.00323833282405132
"778","919",1,0.00345558589497037
"779","1250",1,0.00519980820210754
"780","487",1,0.00745869341272724
"781","285",1,0.00323833280876138
"782","1005",1,0.00370408539247356
"783","1538",1,0.00258760158843661
"784","991",1,0.0037040853818534
"785","893",1,0.00519980820210755
"786","742",1,0.00345558589497037
"787","289",1,0.00578367536021911
"788","55",1,0.00399109458573402
"789","632",1,0.00432631710346651
"790","740",1,0.00345558590620802
"791","491",1,0.00287662525318351
"792","20",1,0.00432631714886899
"793","1264",1,0.00399109458573402
"794","1059",1,0.00323833279344371
"795","293",1,0.00323833280402556
"796","1161",1,0.00432631710346651
"797","597",1,0.00345558589497037
"798","105",1,0.00287662524235072
"799","1265",1,0.0890401823684469
"800","648",1,0.0025876015169911
"801","1043",1,0.00206812396686642
"802","1322",1,0.00651524841624923
"803","1125",1,0.133004549849379
"804","118",1,0.00432631710346651
"805","373",1,0.0964172846083695
"806","163",1,0.0960493587195481
"807","203",1,0.00399109458573402
"808","361",1,0.00519980820210755
"809","1297",1,0.0023513535192455
"810","980",1,0.00323833280487158
"811","1008",1,0.00651524842814989
"812","436",1,0.00345558589497038
"813","1092",1,0.00323833283576858
"814","960",1,0.00246382722205068
"815","870",1,0.00246382723129602
"816","60",1,0.00745869332446472
"817","24",1,0.0023513535192455
"818","382",1,0.00258760153053053
"819","171",1,0.00399109460460318
"820","930",1,0.00304678128687831
"821","268",1,0.00215463533082406
"822","37",1,0.00651524841624923
"823","699",1,0.00651524841624923
"824","669",1,0.00323833282486627
"825","160",1,0.00272446959789722
"826","12",1,0.0039910946802643
"827","154",1,0.00258760153307553
"828","828",1,0.00323833287056237
"829","1117",1,0.0025876015169911
"830","883",1,0.00323833284905788
"831","14",1,0.00287662524235072
"832","252",1,0.00399109458579036
"833","1257",1,0.00235135352413363
"834","821",1,0.00215463533082405
"835","183",1,0.00287662525052213
"836","464",1,0.00472301558879561
"837","638",1,0.00304678129199131
"838","1200",1,0.00345558589497037
"839","537",1,0.00370408538520294
"840","550",1,0.00323833280335694
"841","53",1,0.685565119399916
"842","386",1,0.00519980820210755
"843","367",1,0.00432631710346651
"844","97",1,0.00432631710346651
"845","188",1,0.158960094477408
"846","1441",1,0.0037040853818534
"847","1232",1,0.00399109458573402
"848","119",1,0.00272446959789722
"849","794",1,0.00224870035696854
"850","513",1,0.00472301558879561
"851","892",1,0.00345558594045015
"852","773",1,0.00745869332446472
"853","1177",1,0.00246382722205068
"854","948",1,0.00432631730741564
"855","374",1,0.0087216357330243
"856","1515",1,0.00432631714942888
"857","291",1,0.00323833279344524
