"","topic","term","beta"
"140",29,"kompetenzerleb",7.20925026264777e-235
"141",30,"kompetenzerleb",2.74333334043402e-263
"142",31,"kompetenzerleb",0.00663640450977861
"143",32,"kompetenzerleb",4.81047193641923e-73
"144",33,"kompetenzerleb",6.43767634341742e-260
"145",34,"kompetenzerleb",9.73610688095833e-23
"146",35,"kompetenzerleb",2.25514111366717e-52
"147",36,"kompetenzerleb",3.46017557950046e-195
"148",37,"kompetenzerleb",1.01674998259845e-31
"149",1,"latent",1.45790506930857e-252
"150",2,"latent",1.95108819865789e-250
"151",3,"latent",1.04268303917839e-241
"152",4,"latent",1.98539913740385e-257
"153",5,"latent",2.31834807572042e-256
"154",6,"latent",3.7789748007006e-260
"155",7,"latent",2.54611468662446e-51
"156",8,"latent",1.93881497087159e-264
"157",9,"latent",8.86518214736249e-38
"158",10,"latent",1.87798974424611e-255
"159",11,"latent",1.31058787710619e-12
"160",12,"latent",2.23131438361306e-83
"161",13,"latent",1.17168916083726e-35
"162",14,"latent",0.0186186713254817
"163",15,"latent",3.59877413010495e-53
"164",16,"latent",1.36136036225595e-259
"165",17,"latent",9.42811200514499e-259
"166",18,"latent",1.41082934051106e-254
"167",19,"latent",8.3750858793749e-60
"168",20,"latent",2.22426412673428e-67
"169",21,"latent",2.92179619664797e-18
"170",22,"latent",1.12502154437077e-68
"171",23,"latent",4.80109343635473e-260
"172",24,"latent",2.78535150843396e-51
"173",25,"latent",1.61442455830874e-61
"174",26,"latent",0.00554071574672459
"175",27,"latent",1.04522688911614e-51
"176",28,"latent",2.53863809507366e-264
"177",29,"latent",2.41281922006949e-55
"178",30,"latent",8.26615937235032e-261
"179",31,"latent",2.76258974050729e-253
"180",32,"latent",3.3440074543686e-54
"181",33,"latent",1.37691862839125e-29
"182",34,"latent",3.34735425486058e-259
"183",35,"latent",2.22852009301119e-258
"184",36,"latent",2.73322494204966e-206
"185",37,"latent",2.61509792146258e-34
"186",1,"lernrelevant",1.34634438155898e-283
"187",2,"lernrelevant",3.35706484449684e-280
"188",3,"lernrelevant",2.63178871037002e-281
"189",4,"lernrelevant",3.2069244657061e-107
"190",5,"lernrelevant",7.03533608745059e-284
"191",6,"lernrelevant",4.85280886752622e-18
"192",7,"lernrelevant",6.27596128706202e-288
"193",8,"lernrelevant",1.157594811353e-293
"194",9,"lernrelevant",3.77704336787978e-285
"195",10,"lernrelevant",2.59645878416184e-235
"196",11,"lernrelevant",1.50246841228686e-281
"197",12,"lernrelevant",1.43773992655038e-95
"198",13,"lernrelevant",3.67353790369699e-289
"199",14,"lernrelevant",5.38788094727633e-65
"200",15,"lernrelevant",1.42348432866408e-284
"201",16,"lernrelevant",2.91809966166168e-289
"202",17,"lernrelevant",1.4849061824058e-288
"203",18,"lernrelevant",2.66327679700135e-284
"204",19,"lernrelevant",2.80278221077773e-79
"205",20,"lernrelevant",5.9528450582265e-290
"206",21,"lernrelevant",6.08964462397932e-93
"207",22,"lernrelevant",5.53303330983707e-195
"208",23,"lernrelevant",1.30620699096816e-290
"209",24,"lernrelevant",0.0133425402022126
"210",25,"lernrelevant",7.91251788007872e-77
"211",26,"lernrelevant",4.04817162012827e-285
"212",27,"lernrelevant",7.37457891524248e-286
"213",28,"lernrelevant",9.89113981289672e-294
"214",29,"lernrelevant",1.30452122345907e-283
"215",30,"lernrelevant",4.4798026368812e-289
"216",31,"lernrelevant",8.67425804625235e-282
"217",32,"lernrelevant",3.27707712434643e-289
"218",33,"lernrelevant",1.8041801450458e-55
"219",34,"lernrelevant",6.50736018473996e-289
"220",35,"lernrelevant",9.43451716299866e-289
"221",36,"lernrelevant",1.95286275745784e-225
"222",37,"lernrelevant",3.2246054295574e-65
"223",1,"nimmt",1.17051359035218e-266
"224",2,"nimmt",5.42886166560191e-35
"225",3,"nimmt",1.4108653096922e-266
"226",4,"nimmt",9.37360612255096e-272
"227",5,"nimmt",0.00254870484093308
"228",6,"nimmt",2.54140810693026e-274
"229",7,"nimmt",2.24233177513609e-270
"230",8,"nimmt",9.33749190798032e-93
"231",9,"nimmt",5.32303094988305e-75
"232",10,"nimmt",1.20076318264664e-269
"233",11,"nimmt",1.31949777565427e-67
"234",12,"nimmt",2.66173250073067e-69
"235",13,"nimmt",0.00299415193817834
"236",14,"nimmt",2.70539929408677e-41
"237",15,"nimmt",4.85734689817234e-267
"238",16,"nimmt",5.10678023840859e-260
"239",17,"nimmt",4.06607415470347e-258
"240",18,"nimmt",0.00264718220187221
"241",19,"nimmt",0.0160738196188975
